Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,PFE,RTX,XOM
4/24/20,70.7425,83.169998,128.979996,114.040001,42.52,87.010002,101.190002,33.119999,177,212.179993,124.720001,59.259998,154.860001,90.709999,45.43,184.020004,147,81.43,174.550003,88.370003,118.779999,100.82,291.290009,167.320007,57.93,43.740002,129.440002,35.464897,63.43,43.73
4/27/20,70.792503,85.059998,128.679993,115.199997,43.060001,89.709999,106.059998,34.439999,183.539993,217.759995,125.919998,59.470001,154.289993,94.620003,46.779999,185.889999,153.649994,83.980003,174.050003,89.370003,117.449997,102.889999,293.980011,171.759995,57.810001,44.43,128.300003,36.366222,65.07,43.939999
4/28/20,69.644997,88.190002,131.300003,115.459999,42.490002,89.910004,106.209999,35.869999,187.009995,217.630005,126.269997,58.75,151.389999,95.290001,46.740002,185.929993,157.610001,81.18,169.809998,88.800003,116.889999,104.290001,288.359985,171.25,57.830002,44.650002,128,35.967743,65.389999,44.970001
4/29/20,71.932503,96.120003,139,120.059998,43.34,94.620003,112.25,37.470001,190.029999,221.809998,128.690002,61.799999,150.240005,97.860001,47.119999,187.820007,156.259995,80.769997,177.429993,88.07,117.080002,106,287.649994,181.789993,58.119999,45.360001,123.599998,36.166985,67.900002,47.459999
4/30/20,73.449997,91.25,141.020004,116.379997,42.380001,92,108.150002,36.689999,183.419998,219.830002,125.559998,59.98,150.039993,95.760002,45.889999,187.559998,151.919998,79.339996,179.210007,87.18,117.870003,101.209999,292.470001,178.720001,57.450001,43.290001,121.550003,36.394688,64.809998,46.470001
5/1/20,72.267502,88.32,133.369995,110.879997,40.919998,89.440002,105.5,33.93,177.100006,218.570007,121.870003,57.470001,148.289993,93.25,45.599998,182.660004,148.600006,77.669998,174.570007,85.540001,116.82,96.050003,284.51001,175.570007,56.830002,41.66,122.919998,35.711575,61.110001,43.139999
5/4/20,73.290001,86.379997,131.460007,107.720001,41.349998,91.440002,103.18,33.060001,176.029999,221.839996,121.68,57.990002,148.270004,92.139999,45.139999,181.869995,148.399994,76.860001,178.839996,85.75,115.769997,96.910004,287.540009,176.149994,56.240002,42.450001,123.699997,35.6926,58.849998,44.880001
5/5/20,74.389999,86.739998,125.400002,108.910004,41.459999,92.889999,101.059998,33.369999,178.300003,225.610001,122.580002,58.75,149.5,92,45.400002,179.240005,147.429993,78.010002,180.759995,87.199997,116.010002,96.849998,293.040009,178.440002,56.509998,42.02,124.730003,36.537003,59,44.830002
5/6/20,75.157501,84,121.860001,107.669998,41.150002,90.050003,100.879997,31.959999,176.919998,223.919998,123.169998,59.18,148.080002,90.269997,44.75,176.970001,146.199997,77.120003,182.539993,88.440002,113.099998,93.290001,288.769989,178.779999,55.639999,41.200001,123.300003,36.537003,57.919998,43.990002
5/7/20,75.934998,86.730003,128.649994,107.290001,41.369999,92.639999,105.57,32.849998,182.320007,229.449997,121.230003,59.169998,147.589996,91.209999,44.599998,181.119995,145.740005,75.599998,183.600006,88.559998,112.169998,95.800003,285,182.720001,55.580002,40.66,121.889999,35.066414,57.009998,44.240002
